,City ID,confirm name,Confirm Country,Latitude,Longitude,Temp Kelvin,Temp C,Temp F,Humidity (RH)%,Cloud% Cover,wind speed (m/s),wind speed (mph),Time stamp
169,564593,Dubovskoye,RU,47.41,42.76,286.7,13.0,56.0,48,29,5.13,11.4,['20 Oct 2020 08:22:19']
170,1007311,Durban,ZA,-29.86,31.03,294.4,21.0,70.0,68,75,8.7,19.33,['20 Oct 2020 08:22:19']
171,1272175,Durgapur,IN,23.48,87.32,301.03,28.0,82.0,58,58,1.89,4.2,['20 Oct 2020 08:22:19']
172,1006984,East London,ZA,-33.02,27.91,294.15,21.0,70.0,52,70,10.3,22.89,['20 Oct 2020 08:22:19']
173,2232283,Ébolowa,CM,2.9,11.15,299.71,27.0,80.0,82,75,1.27,2.82,['20 Oct 2020 08:22:19']
174,5503766,Enterprise,US,36.03,-115.24,290.0,17.0,62.0,23,1,0.98,2.18,['20 Oct 2020 08:22:19']
175,1524302,Ereymentau,KZ,51.62,73.1,284.51,11.0,52.0,55,36,3.35,7.44,['20 Oct 2020 08:22:19']
176,4193699,Evans,US,33.53,-82.13,288.4,15.0,59.0,82,1,2.36,5.24,['20 Oct 2020 08:22:19']
177,110690,Faya,SA,18.39,42.45,297.65,24.0,76.0,6,0,4.6,10.22,['20 Oct 2020 08:22:19']
178,3177102,Ferentino,IT,41.7,13.26,289.74,17.0,62.0,63,20,1.0,2.22,['20 Oct 2020 08:22:19']
179,5955902,Fort Nelson,CA,58.81,-122.7,269.02,-4.0,25.0,90,92,0.55,1.22,['20 Oct 2020 08:22:19']
180,5563839,Fortuna,US,40.6,-124.16,283.92,11.0,51.0,100,90,3.6,8.0,['20 Oct 2020 08:22:19']
181,2400547,Gamba,GA,-2.65,10.0,298.63,26.0,78.0,85,100,2.9,6.44,['20 Oct 2020 08:22:19']
182,2259947,Gamboma,CG,-1.88,15.86,303.67,31.0,87.0,60,56,2.52,5.6,['20 Oct 2020 08:22:19']
183,2457161,Gao,ML,16.64,1.64,311.19,38.0,100.0,10,0,0.83,1.84,['20 Oct 2020 08:22:19']
184,2577162,Gaoua,BF,10.3,-3.25,307.31,34.0,93.0,45,7,1.12,2.49,['20 Oct 2020 08:22:19']
185,293842,Kiryat Gat,IL,31.61,34.76,303.23,30.0,86.0,48,0,2.24,4.98,['20 Oct 2020 08:22:19']
186,1735106,George Town,MY,5.41,100.34,302.67,29.0,85.0,74,20,1.5,3.33,['20 Oct 2020 08:22:19']
187,2070998,Geraldton,AU,-28.77,114.6,292.15,19.0,66.0,72,75,5.7,12.67,['20 Oct 2020 08:22:19']
188,3398931,Gilbués,BR,-9.83,-45.34,302.51,29.0,85.0,44,82,5.03,11.18,['20 Oct 2020 08:22:19']
189,336496,Gimbi,ET,9.17,35.83,294.88,22.0,71.0,74,0,1.28,2.84,['20 Oct 2020 08:22:19']
190,3357247,Gobabis,NA,-22.45,18.97,306.98,34.0,93.0,10,0,4.86,10.8,['20 Oct 2020 08:22:19']
191,5962442,Goderich,CA,43.75,-81.72,279.81,7.0,44.0,90,100,4.31,9.58,['20 Oct 2020 08:22:19']
192,4156920,Golden Gate,US,26.19,-81.7,297.26,24.0,75.0,100,75,3.6,8.0,['20 Oct 2020 08:22:19']
193,216281,Goma,CD,-1.68,29.22,294.15,21.0,70.0,73,75,2.1,4.67,['20 Oct 2020 08:22:19']
194,2360372,Gorom-Gorom,BF,14.44,-0.24,311.14,38.0,100.0,16,0,1.62,3.6,['20 Oct 2020 08:22:19']
195,1643837,Gorontalo,ID,0.54,123.06,298.23,25.0,77.0,82,74,1.52,3.38,['20 Oct 2020 08:22:19']
196,2456917,Goundam,ML,16.41,-3.67,310.38,37.0,99.0,9,0,5.48,12.18,['20 Oct 2020 08:22:19']
197,934482,Grand Baie,MU,-20.02,57.58,299.26,26.0,79.0,65,0,4.02,8.93,['20 Oct 2020 08:22:19']
198,934479,Grand Gaube,MU,-20.01,57.66,299.26,26.0,79.0,65,0,4.02,8.93,['20 Oct 2020 08:22:19']
199,2288105,Grand-Lahou,CI,5.14,-5.02,300.77,28.0,82.0,74,94,4.9,10.89,['20 Oct 2020 08:22:19']
200,3433663,Gualeguay,AR,-33.14,-59.31,285.07,12.0,53.0,96,100,6.21,13.8,['20 Oct 2020 08:22:19']
201,3911924,Guanay,BO,-15.5,-67.88,296.41,23.0,74.0,76,87,0.69,1.53,['20 Oct 2020 08:22:19']
202,3461888,Guarapari,BR,-20.67,-40.5,296.56,23.0,74.0,88,90,2.1,4.67,['20 Oct 2020 08:22:19']
203,4021858,Guerrero Negro,MX,27.98,-114.06,293.13,20.0,68.0,89,0,3.65,8.11,['20 Oct 2020 08:22:19']
204,1270779,Guhāgar,IN,17.48,73.19,300.61,27.0,81.0,83,100,2.36,5.24,['20 Oct 2020 08:22:19']
205,3154539,Gullhaug,NO,59.5,10.25,276.27,3.0,38.0,93,75,2.1,4.67,['20 Oct 2020 08:22:19']
206,335288,Hāgere Hiywet,ET,8.98,37.85,293.64,21.0,69.0,56,26,2.57,5.71,['20 Oct 2020 08:22:19']
207,6324729,Halifax,CA,44.65,-63.57,288.05,15.0,59.0,100,90,3.6,8.0,['20 Oct 2020 08:22:19']
208,132144,Hamadan,IR,34.8,48.51,298.15,25.0,77.0,6,0,1.0,2.22,['20 Oct 2020 08:22:19']
209,1244926,Hambantota,LK,6.12,81.12,306.15,33.0,91.0,52,20,7.2,16.0,['20 Oct 2020 08:22:19']
